time(s),torso_x,torso_y,torso_z,torso_qx,torso_qy,torso_qz,torso_qw
7.3000,-0.007600,-0.000002,0.240855,1.000000,-0.000000,0.000002,0.000022
7.4000,-0.007570,-0.000002,0.240938,1.000000,-0.000000,0.000001,0.000022
7.5000,-0.007584,-0.000002,0.241044,1.000000,-0.000000,-0.000001,0.000022
7.6000,-0.007967,0.000002,0.240218,1.000000,-0.000002,-0.000001,0.000005
7.7000,-0.007924,0.000001,0.240677,1.000000,0.000001,0.000001,0.000005
7.8000,-0.007927,0.000001,0.240855,1.000000,0.000000,0.000002,0.000005
7.9000,-0.007895,0.000001,0.240938,1.000000,0.000000,0.000001,0.000006
8.0000,-0.007898,0.000001,0.241041,1.000000,0.000001,0.000002,0.000005
8.1000,-0.008360,0.000001,0.240233,1.000000,-0.000009,0.000002,0.000021
8.2000,-0.008296,-0.000004,0.240683,1.000000,0.000000,0.000000,0.000021
8.3000,-0.008298,-0.000004,0.240857,1.000000,0.000000,0.000001,0.000021
8.4000,-0.008267,-0.000004,0.240939,1.000000,0.000000,0.000001,0.000021
8.5000,-0.008281,-0.000004,0.241035,1.000000,0.000000,-0.000001,0.000021
8.6000,-0.008670,-0.000001,0.240242,1.000000,-0.000001,0.000007,0.000012
8.7000,-0.008615,-0.000000,0.240685,1.000000,-0.000002,0.000000,0.000013
8.8000,-0.008620,-0.000001,0.240857,1.000000,-0.000001,0.000001,0.000013
8.9000,-0.008587,-0.000001,0.240939,1.000000,-0.000001,0.000001,0.000013
9.0000,-0.008601,-0.000001,0.241045,1.000000,-0.000000,-0.000001,0.000013
9.1000,-0.008984,-0.000005,0.240217,1.000000,0.000002,-0.000001,0.000030
9.2000,-0.008942,-0.000004,0.240678,1.000000,-0.000001,0.000001,0.000030
9.3000,-0.008944,-0.000004,0.240855,1.000000,-0.000000,0.000002,0.000030
9.4000,-0.008913,-0.000005,0.240938,1.000000,-0.000000,0.000001,0.000030
9.5000,-0.008928,-0.000005,0.241044,1.000000,-0.000000,-0.000001,0.000030
9.6000,-0.009310,-0.000000,0.240218,1.000000,-0.000002,-0.000001,0.000012
9.7000,-0.009268,-0.000001,0.240677,1.000000,0.000001,0.000001,0.000013
9.8000,-0.009270,-0.000001,0.240855,1.000000,0.000000,0.000002,0.000013
9.9000,-0.009238,-0.000001,0.240938,1.000000,0.000000,0.000001,0.000013
10.0000,-0.009241,0.000000,0.241041,1.000000,-0.000001,0.000002,0.000013
10.1000,-0.009640,0.000340,0.240232,1.000000,-0.000176,0.000009,-0.000211
10.2000,-0.009585,0.000502,0.240690,1.000000,-0.000228,0.000001,-0.000211
10.3000,-0.009589,0.000619,0.240860,1.000000,-0.000195,0.000003,-0.000212
10.4000,-0.009557,0.000750,0.240941,1.000000,-0.000192,0.000002,-0.000214
10.5000,-0.009572,0.000884,0.241038,1.000000,-0.000192,0.000000,-0.000216
10.6000,-0.009916,0.001194,0.240241,1.000000,-0.000168,0.000005,-0.000458
10.7000,-0.009865,0.001359,0.240693,1.000000,-0.000227,-0.000001,-0.000458
10.8000,-0.009871,0.001476,0.240861,1.000000,-0.000195,-0.000000,-0.000459
10.9000,-0.009839,0.001607,0.240941,1.000000,-0.000192,-0.000001,-0.000461
11.0000,-0.009852,0.001740,0.241047,1.000000,-0.000191,-0.000002,-0.000462
11.1000,-0.010156,0.002070,0.240214,1.000000,-0.000175,-0.000004,-0.000688
11.2000,-0.010116,0.002232,0.240685,1.000000,-0.000227,0.000001,-0.000689
11.3000,-0.010119,0.002349,0.240858,1.000000,-0.000195,0.000003,-0.000691
11.4000,-0.010088,0.002480,0.240941,1.000000,-0.000192,0.000002,-0.000692
11.5000,-0.010103,0.002612,0.241047,1.000000,-0.000191,0.000001,-0.000693
11.6000,-0.010451,0.002926,0.240211,1.000000,-0.000168,-0.000003,-0.000961
11.7000,-0.010416,0.003090,0.240683,1.000000,-0.000226,-0.000001,-0.000962
11.8000,-0.010420,0.003208,0.240857,1.000000,-0.000194,0.000000,-0.000964
11.9000,-0.010388,0.003339,0.240940,1.000000,-0.000192,-0.000001,-0.000965
12.0000,-0.010391,0.003472,0.241043,1.000000,-0.000191,0.000001,-0.000966
12.1000,-0.010865,0.003750,0.240227,0.999999,-0.000155,-0.000015,-0.001279
12.2000,-0.010812,0.003920,0.240689,0.999999,-0.000225,0.000001,-0.001278
12.3000,-0.010815,0.004038,0.240860,0.999999,-0.000194,0.000003,-0.001280
12.4000,-0.010783,0.004169,0.240941,0.999999,-0.000192,0.000002,-0.001281
12.5000,-0.010799,0.004304,0.241038,0.999999,-0.000191,0.000001,-0.001283
12.6000,-0.011143,0.004615,0.240241,0.999999,-0.000168,0.000005,-0.001526
12.7000,-0.011093,0.004780,0.240693,0.999999,-0.000227,-0.000001,-0.001527
12.8000,-0.011099,0.004897,0.240861,0.999999,-0.000195,0.000000,-0.001528
12.9000,-0.011067,0.005028,0.240941,0.999999,-0.000192,-0.000001,-0.001529
13.0000,-0.011081,0.005163,0.241038,0.999999,-0.000191,-0.000002,-0.001531
13.1000,-0.011367,0.005490,0.240239,0.999998,-0.000179,0.000005,-0.001736
13.2000,-0.011329,0.005648,0.240694,0.999998,-0.000225,0.000003,-0.001738
13.3000,-0.011334,0.005766,0.240861,0.999998,-0.000194,0.000004,-0.001740
13.4000,-0.011302,0.005897,0.240942,0.999998,-0.000192,0.000003,-0.001741
13.5000,-0.011316,0.006029,0.241047,0.999998,-0.000191,0.000001,-0.001742
13.6000,-0.011671,0.006341,0.240212,0.999998,-0.000162,-0.000006,-0.002007
13.7000,-0.011634,0.006508,0.240685,0.999998,-0.000226,-0.000003,-0.002008
13.8000,-0.011636,0.006625,0.240858,0.999998,-0.000193,-0.000001,-0.002011
13.9000,-0.011606,0.006757,0.240940,0.999998,-0.000191,-0.000001,-0.002012
14.0000,-0.011609,0.006889,0.241043,0.999998,-0.000191,0.000001,-0.002013
14.1000,-0.012082,0.007170,0.240228,0.999997,-0.000155,-0.000015,-0.002330
14.2000,-0.012030,0.007340,0.240689,0.999997,-0.000225,0.000001,-0.002329
14.3000,-0.012033,0.007458,0.240860,0.999997,-0.000194,0.000003,-0.002331
14.4000,-0.012002,0.007589,0.240941,0.999997,-0.000192,0.000002,-0.002332
14.5000,-0.012017,0.007724,0.241038,0.999997,-0.000191,0.000001,-0.002334
14.6000,-0.012362,0.008036,0.240241,0.999997,-0.000168,0.000005,-0.002578
14.7000,-0.012313,0.008201,0.240693,0.999997,-0.000227,-0.000001,-0.002579
14.8000,-0.012318,0.008318,0.240861,0.999997,-0.000195,0.000000,-0.002581
14.9000,-0.012286,0.008449,0.240941,0.999997,-0.000192,-0.000000,-0.002582
15.0000,-0.012300,0.008581,0.241047,0.999997,-0.000191,-0.000002,-0.002583
15.1000,-0.012606,0.008915,0.240214,0.999996,-0.000175,-0.000003,-0.002815
15.2000,-0.012567,0.009076,0.240685,0.999996,-0.000227,0.000001,-0.002817
15.3000,-0.012570,0.009193,0.240858,0.999996,-0.000195,0.000003,-0.002818
15.4000,-0.012540,0.009324,0.240941,0.999996,-0.000192,0.000002,-0.002819
15.5000,-0.012554,0.009456,0.241047,0.999996,-0.000191,0.000001,-0.002821
15.6000,-0.012903,0.009772,0.240211,0.999995,-0.000168,-0.000003,-0.003091
15.7000,-0.012870,0.009937,0.240683,0.999995,-0.000226,-0.000000,-0.003093
15.8000,-0.012874,0.010054,0.240857,0.999995,-0.000194,0.000001,-0.003095
15.9000,-0.012842,0.010185,0.240940,0.999995,-0.000192,-0.000000,-0.003096
16.0000,-0.012857,0.010317,0.241047,0.999995,-0.000191,-0.000002,-0.003097
16.1000,-0.013161,0.010652,0.240212,0.999994,-0.000174,0.000005,-0.003330
16.2000,-0.013123,0.010814,0.240683,0.999994,-0.000227,0.000004,-0.003332
16.3000,-0.013127,0.010930,0.240858,0.999994,-0.000194,0.000004,-0.003335
16.4000,-0.013096,0.011061,0.240940,0.999994,-0.000192,0.000003,-0.003336
16.5000,-0.013123,0.011195,0.241044,0.999994,-0.000192,-0.000002,-0.003339
16.6000,-0.013393,0.011516,0.240233,0.999994,-0.000174,0.000010,-0.003532
16.7000,-0.013367,0.011676,0.240690,0.999994,-0.000226,-0.000002,-0.003536
16.8000,-0.013371,0.011794,0.240860,0.999994,-0.000194,0.000000,-0.003538
16.9000,-0.013340,0.011925,0.240941,0.999994,-0.000192,-0.000000,-0.003539
17.0000,-0.013355,0.012060,0.241038,0.999994,-0.000191,-0.000001,-0.003541
17.1000,-0.013669,0.012386,0.240241,0.999993,-0.000169,0.000012,-0.003767
17.2000,-0.013619,0.012548,0.240693,0.999993,-0.000224,0.000003,-0.003769
17.3000,-0.013624,0.012666,0.240861,0.999993,-0.000193,0.000004,-0.003771
17.4000,-0.013592,0.012797,0.240941,0.999993,-0.000191,0.000003,-0.003772
17.5000,-0.013606,0.012930,0.241047,0.999993,-0.000191,0.000001,-0.003773
17.6000,-0.013962,0.013244,0.240211,0.999992,-0.000161,-0.000006,-0.004040
17.7000,-0.013926,0.013410,0.240685,0.999992,-0.000226,-0.000003,-0.004043
17.8000,-0.013929,0.013528,0.240858,0.999992,-0.000193,-0.000000,-0.004045
17.9000,-0.013898,0.013659,0.240941,0.999992,-0.000191,-0.000001,-0.004046
18.0000,-0.013913,0.013791,0.241047,0.999992,-0.000191,-0.000001,-0.004048
18.1000,-0.014218,0.014127,0.240212,0.999991,-0.000174,0.000005,-0.004284
18.2000,-0.014181,0.014289,0.240683,0.999991,-0.000228,0.000005,-0.004286
18.3000,-0.014185,0.014406,0.240858,0.999991,-0.000194,0.000005,-0.004288
18.4000,-0.014154,0.014537,0.240940,0.999991,-0.000192,0.000003,-0.004290
18.5000,-0.014180,0.014670,0.241044,0.999991,-0.000192,-0.000002,-0.004293
18.6000,-0.014452,0.014992,0.240233,0.999990,-0.000174,0.000010,-0.004487
18.7000,-0.014426,0.015152,0.240690,0.999990,-0.000225,-0.000002,-0.004491
18.8000,-0.014430,0.015270,0.240860,0.999990,-0.000194,0.000000,-0.004493
18.9000,-0.014399,0.015401,0.240941,0.999990,-0.000192,-0.000000,-0.004494
19.0000,-0.014413,0.015533,0.241047,0.999990,-0.000191,-0.000001,-0.004495
19.1000,-0.014723,0.015867,0.240209,0.999989,-0.000165,0.000002,-0.004730
19.2000,-0.014683,0.016032,0.240683,0.999989,-0.000226,0.000005,-0.004733
19.3000,-0.014687,0.016149,0.240858,0.999989,-0.000194,0.000005,-0.004735
19.4000,-0.014656,0.016280,0.240940,0.999989,-0.000192,0.000003,-0.004736
19.5000,-0.014670,0.016413,0.241047,0.999989,-0.000191,0.000002,-0.004738
19.6000,-0.015020,0.016730,0.240211,0.999987,-0.000167,-0.000003,-0.005010
19.7000,-0.014988,0.016895,0.240683,0.999987,-0.000226,0.000000,-0.005013
19.8000,-0.014992,0.017012,0.240857,0.999987,-0.000194,0.000001,-0.005015
19.9000,-0.014961,0.017143,0.240940,0.999987,-0.000192,0.000000,-0.005016
